SF_ID,OTHER_ID,SF_NAME,SF_TYPE_CD,SF_TYPE,SF_STATUS_CD,SF_STATUS,SF_PRIORITY_CD,SF_PRIORITY,SF_PROBLEM_CODE,SF_PROBLEM_CODE_DESCRIPTION,HEIGHT_FT,VOLUME_CY,FLOW_GPM,KEYWORDS,SHAPEAREA,SHAPELEN,OBJECTID
814608,1662-01,1662-01,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,23,70000,,,6916.841085285,356.379991260219,11015897
814609,1662-02,1662-02,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,25,50000,,,34355.782045275,762.286324062921,11015898
814610,1662-03,1662-03,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,23,40000,,,3443.61752596,261.801505969213,11015899
814611,1662-04,1662-04,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,40000,,DH,4900.87352447,298.736312147923,11015900
814612,1662-05,1662-05,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,40000,,DH,4933.56183297,314.874033552386,11015901
814613,1662-06,1662-06,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,20000,,DH,1735.913853585,154.384353950601,11015902
814614,1662-07,1662-07,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,65000,,DH,9536.70042205,533.349981219801,11015903
814615,1662-08,1662-08,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,70000,,DH,8292.545494505,508.882046649471,11015904
814616,1662-09,1662-09,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,25,20000,,,2815.78012071,211.690400879885,11015905
814617,1662-10,1662-10,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,45,75000,,DH,10477.454873165,556.797037382695,11015906
814618,1662-11,1662-11,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,35,30000,,DH,5418.825565145,298.600309399426,11015907
814619,1662-12,1662-12,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,60,130000,,,21441.105172325,782.258003805767,11015908
814620,1662-13,1662-13,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,15,100000,,,9654.50636009,506.802721143912,11015909
814621,1662-14,1662-14,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,30,300000,,,229849.29246243,4027.05561290367,11015910
814623,1663-01,1663-01,SUB,Subsidence Area,COM,Reclamation Complete,UNDET,Priority has not been determined,08,08 Subsidence Prone Area,0,0,,,5261.918230135,279.39221420799,11015911
814624,1665-01,1665-01,RFSPL,Refuse Pile,COM,Reclamation Complete,3,Environmental Impact,40,40 Burning Refuse Pile,30,5000,,GO,6146.829374875,299.602292182054,11015912
814625,1665-02,1665-02,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,40,11000,,PI,6473.256144465,296.439888857058,11015913
814632,1667-02,1667-02,SUB,Subsidence Area,ABAND,Abandoned,3,Environmental Impact,08,08 Subsidence Prone Area,0,0,,,16605.869473995,509.724436185353,11015914
814634,1668-02,1668-02,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,20,65000,,,43941.784443195,1449.81751298028,11015915
814635,1669-01,1669-01,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,15,24000,,,10082.956362085,575.304021633898,11015916
814636,1669-02,1669-02,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,25,40000,,,8415.53956491,616.445259796279,11015917
814637,1669-03,1669-03,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,21000,,,9362.163336445,475.675556461394,11015918
814638,1669-04,1669-04,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,96000,,,24933.694118145,1188.55495065961,11015919
814639,1669-05,1669-05,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,53000,,,21538.44792031,814.152264494612,11015920
814640,1669-06,1669-06,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,35,37000,,,9353.04186893,350.866218530926,11015921
814641,1669-07,1669-07,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,48000,,,9424.399789645,584.091262005485,11015922
814642,1669-08,1669-08,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,35,112000,,,23704.86207462,942.126300449026,11015923
814643,1669-09,1669-09,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,20,53000,,,15922.510159145,857.054030073496,11015924
814644,1669-10,1669-10,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,25,67000,,,20343.427186455,618.51347775325,11015925
814647,1669-13,1669-13,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,10,53000,,,61442.31482171,1398.44907084595,11015926
814652,1672-01,1672-01,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,144000,,,38704.760157385,1546.55117327917,11015927
814653,1672-02,1672-02,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,32000,,,7558.29796814,502.244117497658,11015928
814654,1672-03,1672-03,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,21000,,,5296.398213955,367.505028564992,11015929
814655,1672-04,1672-04,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,16000,,,3511.41551926,224.908408815857,11015930
